period,location_a,location_b,co_mentions
post_election_upto_forming_government,Cumilla,Rangamati,1
post_election_upto_forming_government,Cumilla,কুষ্টিয়া,1
post_election_upto_forming_government,Cumilla,চাঁদপুর,1
post_election_upto_forming_government,Cumilla,নরসিংদী,1
post_election_upto_forming_government,Cumilla,পঞ্চগড়,1
post_election_upto_forming_government,Dhaka,MunশIganj,1
post_election_upto_forming_government,Dhaka,Rangamati,1
post_election_upto_forming_government,Dhaka,খাও হালুয়া,1
post_election_upto_forming_government,Dhaka,গাইবান্ধা,1
post_election_upto_forming_government,Dhaka,টাঙ্গাইল,1
post_election_upto_forming_government,Dhaka,নারায়ণগঞ্জ,1
post_election_upto_forming_government,Dhaka,নেত্রকোনা,1
post_election_upto_forming_government,Dhaka,নোয়াখালী,1
post_election_upto_forming_government,Dhaka,পঞ্চগড়,1
post_election_upto_forming_government,Dhaka,পটুয়াখালী,1
post_election_upto_forming_government,Dhaka,বরগুনা,1
post_election_upto_forming_government,Dhaka,বাগেরহাট,1
post_election_upto_forming_government,Dhaka,মুন্সিগঞ্জ,1
post_election_upto_forming_government,Dhaka,মেহেরপুর,1
post_election_upto_forming_government,Dhaka,মৌলভীবাজার,1
post_election_upto_forming_government,Dhaka,শেরপুর,1
post_election_upto_forming_government,Dhaka,সাতক্ষীরা,1
post_election_upto_forming_government,Dhaka,হবিগঞ্জ,1
post_election_upto_forming_government,Dinajpur,Mymensingh,1
post_election_upto_forming_government,Dinajpur,Rajshahi,1
post_election_upto_forming_government,Faridpur,Rajbari,1
post_election_upto_forming_government,Faridpur,Rajshahi,1
post_election_upto_forming_government,Feni,Rangamati,1
post_election_upto_forming_government,Feni,Sylhet,1
post_election_upto_forming_government,Feni,কুড়িগ্রাম,1
post_election_upto_forming_government,Feni,চাঁদপুর,1
post_election_upto_forming_government,Gaibandha,Mymensingh,1
post_election_upto_forming_government,Gaibandha,Sylhet,1
post_election_upto_forming_government,Gazipur,Jamalpur,1
post_election_upto_forming_government,Gazipur,Jessore,1
post_election_upto_forming_government,Gazipur,Manikganj,1
post_election_upto_forming_government,Gazipur,Munshiganj,1
post_election_upto_forming_government,Gazipur,Naogaon,1
post_election_upto_forming_government,Gazipur,Narayanganj,1
post_election_upto_forming_government,Gazipur,Netrokona,1
post_election_upto_forming_government,Gazipur,Patuakhali,1
post_election_upto_forming_government,Gazipur,Rajshahi,1
post_election_upto_forming_government,Gazipur,পটুয়াখালী,1
post_election_upto_forming_government,Gazipur,বাগেরহাট,1
post_election_upto_forming_government,Gazipur,বান্দরবান,1
post_election_upto_forming_government,Gopalganj,Rangpur,1
post_election_upto_forming_government,Gopalganj,Sylhet,1
post_election_upto_forming_government,Gopalganj,গোপালগঞ্জ,1
post_election_upto_forming_government,Jamalpur,Pabna,1
